id,name_en,name_ar,categoryName_en,categoryName_ar,price,currency,stockStatus,preparationTime,specifications,url_en,url_ar
"3","Mq4800 Electrical Start Inverter Generator 3500 Max Starting Watts","Mq4800 %d9%85%d9%88%d9%84%d8%af %d9%83%d9%87%d8%b1%d8%a8%d8%a7%d8%a6%d9%8a %d8%b9%d8%a7%d9%83%d8%b3 %d9%8a%d8%b9%d9%85%d9%84 %d8%a8%d8%a7%d9%84%d8%a8%d9%86%d8%b2%d9%8a%d9%86 %d9%85%d8%b9 %d8%aa%d8%b4%d8%ba%d9%8a%d9%84 %d8%a8%d8%a7%d9%84%d9%85%d9%81%d8%aa%d8%a7%d8%ad","Generator","مولدات","100","KWD","Out of Stock","1 Days","{""model_number"":""MQ4800"",""rated_watts"":""3300W"",""max_starting_watts"":""3500W"",""volts"":""230V"",""phase_frequency"":""Single"",""starting_method"":""Electrical"",""horse_power_hp"":""8.0 HP"",""fuel_tank_capacity"":""15L"",""engine_oil_capacity"":""0.6L"",""noise_level"":""77dBA @ 75%"",""socket"":""2 X 13A"",""net_weight"":""44KG"",""dimension"":""605mm X 475mm X 490mm"",""fuel_type"":""Inverter""}","https://aipowerkw.com/en/product/3-mq4800-electrical-start-inverter-generator-3500-max-starting-watts","https://aipowerkw.com/ar/product/3-mq4800-%D9%85%D9%88%D9%84%D8%AF-%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A6%D9%8A-%D8%B9%D8%A7%D9%83%D8%B3-%D9%8A%D8%B9%D9%85%D9%84-%D8%A8%D8%A7%D9%84%D8%A8%D9%86%D8%B2%D9%8A%D9%86-%D9%85%D8%B9-%D8%AA%D8%B4%D8%BA%D9%8A%D9%84-%D8%A8%D8%A7%D9%84%D9%85%D9%81%D8%AA%D8%A7%D8%AD"
"6","Mq2500 Oi Recoil Start Inverter Generator 2200 Max Starting Watts","Mq2500 Oi %d9%85%d9%88%d9%84%d8%af %d9%83%d9%87%d8%b1%d8%a8%d8%a7%d8%a6%d9%8a %d8%b9%d8%a7%d9%83%d8%b3 %d9%8a%d8%b9%d9%85%d9%84 %d8%a8%d9%86%d8%b8%d8%a7%d9%85 %d8%a7%d9%84%d8%aa%d8%b4%d8%ba%d9%8a%d9%84 %d8%a7%d9%84%d9%8a%d8%af%d9%88%d9%8a %d8%a8%d9%82%d8%af%d8%b1%d8%a9 2200 %d9%88%d8%a7%d8%b7 %d9%83%d8%ad%d8%af %d8%a3%d9%82%d8%b5%d9%89 %d9%84%d8%a8%d8%af%d8%a1 %d8%a7%d9%84%d8%aa%d8%b4%d8%ba%d9%8a%d9%84","Generator","مولدات","85","KWD","Out of Stock","1 Days","{""rated_watts"":""2000W"",""max_starting_watts"":""2200W"",""volts"":""230V"",""phase_frequency"":""Single"",""starting_method"":""Manual"",""horse_power_hp"":""7.0 HP"",""fuel_tank_capacity"":""7L"",""engine_oil_capacity"":""0.6L"",""noise_level"":""73.9dBA @ 75%"",""socket"":""1 X 13A"",""net_weight"":""27KG"",""dimension"":""455mm X 385mm X 485mm"",""fuel_type"":""INVERTER""}","https://aipowerkw.com/en/product/6-mq2500-oi-recoil-start-inverter-generator-2200-max-starting-watts","https://aipowerkw.com/ar/product/6-mq2500-oi-%D9%85%D9%88%D9%84%D8%AF-%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A6%D9%8A-%D8%B9%D8%A7%D9%83%D8%B3-%D9%8A%D8%B9%D9%85%D9%84-%D8%A8%D9%86%D8%B8%D8%A7%D9%85-%D8%A7%D9%84%D8%AA%D8%B4%D8%BA%D9%8A%D9%84-%D8%A7%D9%84%D9%8A%D8%AF%D9%88%D9%8A-%D8%A8%D9%82%D8%AF%D8%B1%D8%A9-2200-%D9%88%D8%A7%D8%B7-%D9%83%D8%AD%D8%AF-%D8%A3%D9%82%D8%B5%D9%89-%D9%84%D8%A8%D8%AF%D8%A1-%D8%A7%D9%84%D8%AA%D8%B4%D8%BA%D9%8A%D9%84"
"9","Mq5000 Oi Electrical Start Inverter Generator 3700 Max Starting Watts","Mq5000 Oi %d9%85%d9%88%d9%84%d8%af %d9%83%d9%87%d8%b1%d8%a8%d8%a7%d8%a6%d9%8a %d8%b9%d8%a7%d9%83%d8%b3 %d8%b0%d9%88 %d8%aa%d8%b4%d8%ba%d9%8a%d9%84 %d9%83%d9%87%d8%b1%d8%a8%d8%a7%d8%a6%d9%8a%d8%8c %d8%a3%d9%82%d8%b5%d9%89 %d9%82%d8%af%d8%b1%d8%a9 %d8%a8%d8%af%d8%a1 %d8%aa%d8%b4%d8%ba%d9%8a%d9%84 3700 %d9%88%d8%a7%d8%b7","Generator","مولدات","145","KWD","Out of Stock","1 Days","{""rated_watts"":""3500W"",""max_starting_watts"":""3700W"",""volts"":""230V"",""phase_frequency"":""Single"",""starting_method"":""Electrical"",""horse_power_hp"":""8.0 HP"",""fuel_tank_capacity"":""7L"",""engine_oil_capacity"":""0.6L"",""noise_level"":""77dBA @ 75%"",""socket"":""2 X 13A"",""net_weight"":""29KG"",""dimension"":""455mm X 385mm X 485mm"",""fuel_type"":""Inverter""}","https://aipowerkw.com/en/product/9-mq5000-oi-electrical-start-inverter-generator-3700-max-starting-watts","https://aipowerkw.com/ar/product/9-mq5000-oi-%D9%85%D9%88%D9%84%D8%AF-%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A6%D9%8A-%D8%B9%D8%A7%D9%83%D8%B3-%D8%B0%D9%88-%D8%AA%D8%B4%D8%BA%D9%8A%D9%84-%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A6%D9%8A%D8%8C-%D8%A3%D9%82%D8%B5%D9%89-%D9%82%D8%AF%D8%B1%D8%A9-%D8%A8%D8%AF%D8%A1-%D8%AA%D8%B4%D8%BA%D9%8A%D9%84-3700-%D9%88%D8%A7%D8%B7"
"12","Mq6500 Electrical Start Inverter Generator 5500 Max Starting Watts","Mq6500 %d9%85%d9%88%d9%84%d8%af %d9%83%d9%87%d8%b1%d8%a8%d8%a7%d8%a6%d9%8a %d8%b9%d8%a7%d9%83%d8%b3 %d8%b0%d9%88 %d8%aa%d8%b4%d8%ba%d9%8a%d9%84 %d9%83%d9%87%d8%b1%d8%a8%d8%a7%d8%a6%d9%8a %d8%a8%d8%a7%d9%84%d9%85%d9%81%d8%aa%d8%a7%d8%ad %d9%88%d9%82%d8%af%d8%b1%d8%a9 %d8%a8%d8%af%d8%a1 %d8%aa%d8%b4%d8%ba%d9%8a%d9%84 %d9%82%d8%b5%d9%88%d9%89 5500 %d9%88%d8%a7%d8%b7","Generator","مولدات","180","KWD","Out of Stock","1 Days","{""model_number"":""MQ6500"",""rated_watts"":""5000W"",""max_starting_watts"":""5500W"",""volts"":""230V"",""phase_frequency"":""Single"",""starting_method"":""Electrical"",""horse_power_hp"":""15.0 HP"",""fuel_tank_capacity"":""26L"",""engine_oil_capacity"":""1.1L"",""noise_level"":""80dBA @ 75%"",""socket"":""2 X 13A"",""net_weight"":""82KG"",""dimension"":""705mm X 545mm X 575mm"",""fuel_type"":""Inverter""}","https://aipowerkw.com/en/product/12-mq6500-electrical-start-inverter-generator-5500-max-starting-watts","https://aipowerkw.com/ar/product/12-mq6500-%D9%85%D9%88%D9%84%D8%AF-%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A6%D9%8A-%D8%B9%D8%A7%D9%83%D8%B3-%D8%B0%D9%88-%D8%AA%D8%B4%D8%BA%D9%8A%D9%84-%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A6%D9%8A-%D8%A8%D8%A7%D9%84%D9%85%D9%81%D8%AA%D8%A7%D8%AD-%D9%88%D9%82%D8%AF%D8%B1%D8%A9-%D8%A8%D8%AF%D8%A1-%D8%AA%D8%B4%D8%BA%D9%8A%D9%84-%D9%82%D8%B5%D9%88%D9%89-5500-%D9%88%D8%A7%D8%B7"
"15","Mq7500 Oi Electrical Start Inverter Generator 5500 Max Starting Watts","Mq7500 Oi %d9%85%d9%88%d9%84%d8%af %d9%83%d9%87%d8%b1%d8%a8%d8%a7%d8%a6%d9%8a %d8%b9%d8%a7%d9%83%d8%b3 %d8%b0%d9%88 %d8%aa%d8%b4%d8%ba%d9%8a%d9%84 %d8%a8%d8%a7%d9%84%d9%85%d9%81%d8%aa%d8%a7%d8%ad %d9%88%d9%82%d8%af%d8%b1%d8%a9 %d8%a8%d8%af%d8%a1 %d8%aa%d8%b4%d8%ba%d9%8a%d9%84 %d9%82%d8%b5%d9%88%d9%89 5500 %d9%88%d8%a7%d8%b7","Generator","مولدات","185","KWD","Out of Stock","1 Days","{""rated_watts"":""5000W"",""max_starting_watts"":""5500W"",""volts"":""230V"",""phase_frequency"":""Single"",""starting_method"":""Electrical"",""horse_power_hp"":""9.0 HP"",""fuel_tank_capacity"":""7L"",""engine_oil_capacity"":""0.6L"",""noise_level"":""78.5dBA @ 75%"",""socket"":""1 X 13A, 1 X 32A"",""net_weight"":""30KG"",""dimension"":""455mm X 385mm X 485mm"",""fuel_type"":""Inverter""}","https://aipowerkw.com/en/product/15-mq7500-oi-electrical-start-inverter-generator-5500-max-starting-watts","https://aipowerkw.com/ar/product/15-mq7500-oi-%D9%85%D9%88%D9%84%D8%AF-%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A6%D9%8A-%D8%B9%D8%A7%D9%83%D8%B3-%D8%B0%D9%88-%D8%AA%D8%B4%D8%BA%D9%8A%D9%84-%D8%A8%D8%A7%D9%84%D9%85%D9%81%D8%AA%D8%A7%D8%AD-%D9%88%D9%82%D8%AF%D8%B1%D8%A9-%D8%A8%D8%AF%D8%A1-%D8%AA%D8%B4%D8%BA%D9%8A%D9%84-%D9%82%D8%B5%D9%88%D9%89-5500-%D9%88%D8%A7%D8%B7"
"18","Mq7500 Si Silent Inverter Generator 5500 Max Starting Watts","Mq7500 Si %d9%85%d9%88%d9%84%d8%af %d8%b9%d8%a7%d9%83%d8%b3 %d8%b5%d8%a7%d9%85%d8%aa %d8%a8%d9%82%d8%af%d8%b1%d8%a9 %d8%a8%d8%af%d8%a1 %d8%aa%d8%b4%d8%ba%d9%8a%d9%84 %d9%82%d8%b5%d9%88%d9%89 5500 %d9%88%d8%a7%d8%b7","Generator","مولدات","220","KWD","Out of Stock","1 Days","{""model_number"":""MQ7500-SI"",""rated_watts"":""5000W"",""max_starting_watts"":""5500W"",""volts"":""230V"",""phase_frequency"":""Single"",""starting_method"":""Electrical"",""horse_power_hp"":""9.0 HP"",""fuel_tank_capacity"":""10L"",""engine_oil_capacity"":""0.6L"",""noise_level"":""78.5dBA @ 75%"",""socket"":""1 X 13A, 1 X 32A"",""net_weight"":""45KG"",""dimension"":""625mm X 485mm X 570mm"",""fuel_type"":""Inverter""}","https://aipowerkw.com/en/product/18-mq7500-si-silent-inverter-generator-5500-max-starting-watts","https://aipowerkw.com/ar/product/18-mq7500-si-%D9%85%D9%88%D9%84%D8%AF-%D8%B9%D8%A7%D9%83%D8%B3-%D8%B5%D8%A7%D9%85%D8%AA-%D8%A8%D9%82%D8%AF%D8%B1%D8%A9-%D8%A8%D8%AF%D8%A1-%D8%AA%D8%B4%D8%BA%D9%8A%D9%84-%D9%82%D8%B5%D9%88%D9%89-5500-%D9%88%D8%A7%D8%B7"
"21","Mq12500 Oi Remote Control Inverter Generator 8000 Max Starting Watts","Mq12500 Oi %d9%85%d9%88%d9%84%d8%af %d9%83%d9%87%d8%b1%d8%a8%d8%a7%d8%a6%d9%8a %d8%b9%d8%a7%d9%83%d8%b3 %d8%a8%d8%aa%d8%ad%d9%83%d9%85 %d8%b9%d9%86 %d8%a8%d8%b9%d8%af %d9%82%d8%af%d8%b1%d8%a9 %d8%a8%d8%af%d8%a1 %d8%aa%d8%b4%d8%ba%d9%8a%d9%84 %d9%82%d8%b5%d9%88%d9%89 8000 %d9%88%d8%a7%d8%b7","Generator","مولدات","295","KWD","Out of Stock","1 Days","{""rated_watts"":""7000W"",""max_starting_watts"":""8000W"",""volts"":""230V"",""phase_frequency"":""Single"",""starting_method"":""Electrical"",""horse_power_hp"":""18.0 HP"",""fuel_tank_capacity"":""25L"",""engine_oil_capacity"":""1.1L"",""noise_level"":""82.6dBA @ 75%"",""socket"":""1 X 13A, 1 X 32A"",""net_weight"":""70KG"",""dimension"":""680mm X 535mm X 615mm"",""fuel_type"":""Inverter""}","https://aipowerkw.com/en/product/21-mq12500-oi-remote-control-inverter-generator-8000-max-starting-watts","https://aipowerkw.com/ar/product/21-mq12500-oi-%D9%85%D9%88%D9%84%D8%AF-%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A6%D9%8A-%D8%B9%D8%A7%D9%83%D8%B3-%D8%A8%D8%AA%D8%AD%D9%83%D9%85-%D8%B9%D9%86-%D8%A8%D8%B9%D8%AF-%D9%82%D8%AF%D8%B1%D8%A9-%D8%A8%D8%AF%D8%A1-%D8%AA%D8%B4%D8%BA%D9%8A%D9%84-%D9%82%D8%B5%D9%88%D9%89-8000-%D9%88%D8%A7%D8%B7"
"24","Mq13000 Electrical Start Inverter Generator 9500 Max Starting Watts","Mq13000 %d9%85%d9%88%d9%84%d8%af %d9%83%d9%87%d8%b1%d8%a8%d8%a7%d8%a6%d9%8a %d8%b9%d8%a7%d9%83%d8%b3 %d8%b0%d9%88 %d8%aa%d8%b4%d8%ba%d9%8a%d9%84 %d8%a8%d8%a7%d9%84%d9%85%d9%81%d8%aa%d8%a7%d8%ad %d9%88%d9%82%d8%af%d8%b1%d8%a9 %d8%a8%d8%af%d8%a1 %d8%aa%d8%b4%d8%ba%d9%8a%d9%84 %d9%82%d8%b5%d9%88%d9%89 %d8%aa%d8%a8%d9%84%d8%ba 9500 %d9%88%d8%a7%d8%b7","Generator","مولدات","230","KWD","Out of Stock","1 Days","{""model_number"":""MQ 13000"",""rated_watts"":""9000W"",""max_starting_watts"":""9500W"",""volts"":""230V"",""phase_frequency"":""Single"",""starting_method"":""Electrical"",""horse_power_hp"":""20.0 HP"",""fuel_tank_capacity"":""26L"",""engine_oil_capacity"":""1.1L"",""noise_level"":""83dBA @ 75%"",""socket"":""1 X 13A, 1 X 40A"",""net_weight"":""92KG"",""dimension"":""705mm X 545mm X 575mm"",""digital_display"":""3-in-1 Smart Digital Meter"",""fuel_type"":""Inverter""}","https://aipowerkw.com/en/product/24-mq13000-electrical-start-inverter-generator-9500-max-starting-watts","https://aipowerkw.com/ar/product/24-mq13000-%D9%85%D9%88%D9%84%D8%AF-%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A6%D9%8A-%D8%B9%D8%A7%D9%83%D8%B3-%D8%B0%D9%88-%D8%AA%D8%B4%D8%BA%D9%8A%D9%84-%D8%A8%D8%A7%D9%84%D9%85%D9%81%D8%AA%D8%A7%D8%AD-%D9%88%D9%82%D8%AF%D8%B1%D8%A9-%D8%A8%D8%AF%D8%A1-%D8%AA%D8%B4%D8%BA%D9%8A%D9%84-%D9%82%D8%B5%D9%88%D9%89-%D8%AA%D8%A8%D9%84%D8%BA-9500-%D9%88%D8%A7%D8%B7"
"27","Mq14000 Si Silent Inverter Generator 9800 Max Starting Watts","%d9%85%d9%88%d9%84%d8%af %d8%b9%d8%a7%d9%83%d8%b3 %d8%b5%d8%a7%d9%85%d8%aa %d8%a8%d9%82%d8%af%d8%b1%d8%a9 %d8%a8%d8%af%d8%a1 %d8%aa%d8%b4%d8%ba%d9%8a%d9%84 %d9%82%d8%b5%d9%88%d9%89 9800 %d9%88%d8%a7%d8%b7","Generator","مولدات","535","KWD","Out of Stock","1 Days","{""rated_watts"":""9000W"",""max_starting_watts"":""9800W"",""volts"":""230V"",""phase_frequency"":""Single"",""starting_method"":""Electrical"",""horse_power_hp"":""20.0 HP"",""fuel_tank_capacity"":""32L"",""engine_oil_capacity"":""1.1L"",""noise_level"":""72.7dBA @ 75%"",""socket"":""1 X 13A, 1 X 32A, 1 X 40A"",""net_weight"":""92KG"",""dimension"":""910mm X 675mm X 810mm"",""digital_display"":""3-in-1 Smart Digital Meter"",""fuel_type"":""Inverter""}","https://aipowerkw.com/en/product/27-mq14000-si-silent-inverter-generator-9800-max-starting-watts","https://aipowerkw.com/ar/product/27-%D9%85%D9%88%D9%84%D8%AF-%D8%B9%D8%A7%D9%83%D8%B3-%D8%B5%D8%A7%D9%85%D8%AA-%D8%A8%D9%82%D8%AF%D8%B1%D8%A9-%D8%A8%D8%AF%D8%A1-%D8%AA%D8%B4%D8%BA%D9%8A%D9%84-%D9%82%D8%B5%D9%88%D9%89-9800-%D9%88%D8%A7%D8%B7"
"30","Mq15800 Oi Remote Control Inverter Generator 9800 Max Starting Watts","Mq15800 Oi %d9%85%d9%88%d9%84%d8%af %d9%83%d9%87%d8%b1%d8%a8%d8%a7%d8%a6%d9%8a %d8%b9%d8%a7%d9%83%d8%b3 %d8%a8%d8%aa%d8%ad%d9%83%d9%85 %d8%b9%d9%86 %d8%a8%d8%b9%d8%af %d9%82%d8%af%d8%b1%d8%a9 %d8%a8%d8%af%d8%a1 %d8%aa%d8%b4%d8%ba%d9%8a%d9%84 %d9%82%d8%b5%d9%88%d9%89 9800 %d9%88%d8%a7%d8%b7","Generator","مولدات","375","KWD","Out of Stock","1 Days","{""rated_watts"":""9000W"",""max_starting_watts"":""9800W"",""volts"":""230V/400V"",""phase_frequency"":""Three"",""starting_method"":""Electrical"",""horse_power_hp"":""20.0 HP"",""fuel_tank_capacity"":""28L"",""engine_oil_capacity"":""1.1L"",""noise_level"":""82.9dBA @ 75%"",""socket"":""1 X 13A, 1 X 32A, 1 X 50A"",""net_weight"":""74KG"",""dimension"":""735mm X 538mm X 643mm"",""digital_display"":""3-in-1 Smart Digital Meter"",""fuel_type"":""Inverter""}","https://aipowerkw.com/en/product/30-mq15800-oi-remote-control-inverter-generator-9800-max-starting-watts","https://aipowerkw.com/ar/product/30-mq15800-oi-%D9%85%D9%88%D9%84%D8%AF-%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A6%D9%8A-%D8%B9%D8%A7%D9%83%D8%B3-%D8%A8%D8%AA%D8%AD%D9%83%D9%85-%D8%B9%D9%86-%D8%A8%D8%B9%D8%AF-%D9%82%D8%AF%D8%B1%D8%A9-%D8%A8%D8%AF%D8%A1-%D8%AA%D8%B4%D8%BA%D9%8A%D9%84-%D9%82%D8%B5%D9%88%D9%89-9800-%D9%88%D8%A7%D8%B7"
